         37660 function calls (36990 primitive calls) in 0.029 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
      202    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       20    0.000    0.000    0.003    0.000 _compiler.py:740(compile)
      315    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      104    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      295    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        1    0.000    0.000    0.028    0.028 request.py:1(<module>)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       20    0.000    0.000    0.002    0.000 _parser.py:969(parse)
      126    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
      265    0.000    0.000    0.000    0.000 _parser.py:256(match)
      322    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      180    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      145    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       10    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      322    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       38    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
