         143478 function calls (138828 primitive calls) in 0.089 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      768    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1448    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     2047    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:1(<module>)
      300    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      989    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
     1139    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       24    0.000    0.000    0.002    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
       63    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        7    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      196    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      456    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
      469    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
       70    0.000    0.000    0.014    0.000 _parser.py:969(parse)
     1160    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      328    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       47    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      446    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      751    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      338    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      751    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       63    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      197    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      620    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1160    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      365    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      177    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
      515    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      329    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      311    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       16    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      179    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      196    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
  110/107    0.000    0.000    0.002    0.000 typing.py:392(inner)
      317    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       70    0.000    0.000    0.008    0.000 _compiler.py:573(_code)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      204    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      487    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      338    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      114    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
      281    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      426    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       14    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      152    0.000    0.000    0.000    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      404    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       25    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       70    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       18    0.000    0.000    0.001    0.000 typing.py:687(Union)
      323    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      117    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      159    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
    75/62    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      264    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       82    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
      329    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      152    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      180    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
        2    0.000    0.000    0.011    0.005 utils.py:1(<module>)
       10    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       50    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      426    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        8    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
       82    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      306    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      400    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      473    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       36    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
